image.name,analyst,expertise,red,purple,green
34_HGMNE2_2_b_GX010125_00049_255,NS,advanced,0,0,0
34_HGMNE2_2_b_GX010125_00050_165,NS,advanced,2,0,1
36_HGMNE2_3_b_GX010127_00001_16,NS,advanced,1,0,1
36_HGMNE2_3_b_GX010127_00002_22,NS,advanced,10,0,0
36_HGMNE2_3_b_GX010127_00003_28,NS,advanced,2,0,6
36_HGMNE2_3_b_GX010127_00004_34,NS,advanced,7,0,2
36_HGMNE2_3_b_GX010127_00005_40,NS,advanced,3,0,1
36_HGMNE2_3_b_GX010127_00006_46,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00007_52,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00008_58,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00009_64,NS,advanced,1,0,1
36_HGMNE2_3_b_GX010127_00010_70,NS,advanced,0,0,4
36_HGMNE2_3_b_GX010127_00011_76,NS,advanced,0,0,8
36_HGMNE2_3_b_GX010127_00012_82,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00013_88,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00014_94,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00015_100,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00016_106,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00017_112,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00018_118,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00019_124,NS,advanced,3,0,0
36_HGMNE2_3_b_GX010127_00020_130,NS,advanced,0,1,0
36_HGMNE2_3_b_GX010127_00021_136,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00022_142,NS,advanced,1,0,1
36_HGMNE2_3_b_GX010127_00023_148,NS,advanced,3,0,0
36_HGMNE2_3_b_GX010127_00024_154,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00025_160,NS,advanced,0,0,5
36_HGMNE2_3_b_GX010127_00026_166,NS,advanced,0,0,2
36_HGMNE2_3_b_GX010127_00027_172,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00028_178,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00029_184,NS,advanced,4,0,0
36_HGMNE2_3_b_GX010127_00030_190,NS,advanced,4,0,1
36_HGMNE2_3_b_GX010127_00031_196,NS,advanced,2,0,0
36_HGMNE2_3_b_GX010127_00032_202,NS,advanced,2,0,1
36_HGMNE2_3_b_GX010127_00033_208,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00034_214,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00035_220,NS,advanced,3,0,9
36_HGMNE2_3_b_GX010127_00036_226,NS,advanced,7,0,7
36_HGMNE2_3_b_GX010127_00037_232,NS,advanced,6,0,4
36_HGMNE2_3_b_GX010127_00038_238,NS,advanced,6,0,1
36_HGMNE2_3_b_GX010127_00039_244,NS,advanced,2,0,1
36_HGMNE2_3_b_GX010127_00040_250,NS,advanced,2,0,1
36_HGMNE2_3_b_GX010127_00041_256,NS,advanced,2,0,4
36_HGMNE2_3_b_GX010127_00042_262,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00043_268,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00044_274,NS,advanced,4,0,1
36_HGMNE2_3_b_GX010127_00045_280,NS,advanced,5,0,0
36_HGMNE2_3_b_GX010127_00046_286,NS,advanced,2,0,0
36_HGMNE2_3_b_GX010127_00047_292,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00048_298,NS,advanced,0,0,0
36_HGMNE2_3_b_GX010127_00049_304,NS,advanced,1,0,0
36_HGMNE2_3_b_GX010127_00050_310,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00001_21,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00002_27,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00003_33,NS,advanced,0,1,0
38_HGMNW2_1_b_GX010138_00004_39,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00005_45,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00006_51,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00007_57,NS,advanced,1,1,0
38_HGMNW2_1_b_GX010138_00008_63,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00009_69,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00010_75,NS,advanced,2,0,0
38_HGMNW2_1_b_GX010138_00011_81,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00012_87,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00013_93,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00014_99,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00015_105,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00016_111,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00017_117,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00018_123,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00019_129,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00020_135,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00021_141,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00022_147,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00023_153,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00024_159,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00025_165,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00026_171,NS,advanced,3,0,0
38_HGMNW2_1_b_GX010138_00027_177,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00028_183,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00029_189,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00030_195,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00031_201,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00032_207,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00033_213,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00034_219,NS,advanced,1,0,0
38_HGMNW2_1_b_GX010138_00035_225,NS,advanced,0,0,0
38_HGMNW2_1_b_GX010138_00036_231,NS,advanced,2,0,0
